V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,Class
156.0,103.0,548622.0,378435.0,7885.0,562.0,369.0,907789.0,67.0,133.0,1399.0,0,1,44.0,0.14387720805110185,0.47378937351607026,0.8620058197262761,0.11415585134360841,0.2918277208425927,0,1,4.102184287385996,2.2169651778010073,2.269406377699809,0.10829085760996937,-0.32341406058872585,0.9796268403221824,0,0,1,1,0,0,1
317.0,277.0,401017.0,482178.0,1776.0,26.0,11.0,188244.0,81.0,127.0,1365.0,0,1,103.0,0.4832855732440964,0.6370620969715893,0.5993078084305621,0.01834992850264446,0.5312536212164479,0,1,2.2311641243485454,0.9778507673890561,1.2790561958905873,0.47183762507847216,-0.24716506218868692,0.37227700641683703,0,0,0,0,0,0,2
542.0,589.0,67666.0,211412.0,866.0,15.0,15.0,80009.0,104.0,134.0,1690.0,0,1,47.0,0.7406160455989005,0.2413423967170382,0.820971215865683,0.01194762959791026,0.533630430733125,1,1,1.9733024113697526,0.9459837816790487,0.9721229432471505,0.18170816465378167,-0.05023198860178963,0.20306870219626605,0,0,0,0,0,0,2
275.0,290.0,9146493.0,9581753.0,297.0,21.0,18.0,183367.0,48.0,105.0,1365.0,0,1,45.0,0.45714942167657097,0.2052231807805048,0.8949815089323873,0.018417732701093502,0.9920243047623037,1,1,1.8492763081778847,1.014008237866541,1.0417057721628178,0.1692706282813457,0.02530991081602863,0.2811081007429249,0,0,0,0,0,0,2
43.0,241.0,1032603.0,691658.0,14194.0,807.0,496.0,1708850.0,25.0,144.0,1417.0,0,1,43.0,0.09882660218329298,0.5781813708332966,0.9857574372690783,0.1167615842500884,0.23275496645977728,0,0,4.013260446109142,2.151691592935468,2.269837322161368,0.04913681600119964,-0.03443642588430323,0.9571275735741107,0,0,1,0,0,0,1
34.0,41.0,796541.0,677281.0,469.0,169.0,81.0,89528.0,91.0,131.0,1362.0,0,1,47.0,0.06406890067119282,0.3494920531031871,0.6936120965283696,0.004545686723654402,0.2418976724167667,0,1,2.9166168868357034,1.6073114696494373,1.7110559917043668,0.32742983506218354,-0.20100619726969604,0.9888813310130631,0,0,0,0,0,0,2
657.0,628.0,491960.0,158244.0,213.0,12.0,15.0,39027.0,92.0,123.0,1393.0,0,1,62.0,0.7852263963974087,0.22104834030281967,0.9156053630726046,0.009595851590569,0.7460837910625813,1,1,2.138029170360465,1.0212554772083087,1.1995642389775472,0.0326281326237614,-0.15376340420450862,0.2849320015141896,0,0,0,0,0,1,1
616.0,660.0,2149951.0,2490846.0,909.0,53.0,57.0,90921.0,102.0,131.0,1356.0,0,1,96.0,0.9351531163614909,0.5095256854045478,0.2971720629272297,0.032541333431813,0.47425376079752113,1,1,2.520472826016779,1.0625605402313638,1.6142593153091083,0.7104315818122765,-0.021212851173269556,0.6809459122188967,0,0,0,0,1,1,1
40.0,56.0,1191833.0,728504.0,19609.0,1126.0,510.0,3739744.0,44.0,96.0,1706.0,0,1,43.0,0.02437292900564412,0.6092006658823975,0.1405254241326752,0.22350617376553894,0.12354335280996825,1,1,2.9855094898468972,1.0945529277723804,1.9855802461723107,0.8801797584193316,-0.47065159662219874,0.9820190125968501,0,0,0,0,0,0,2
218.0,196.0,2539360.0,2430965.0,1330.0,104.0,18.0,169177.0,132.0,146.0,1676.0,1,0,89.0,0.24440440864975638,0.5396717064103461,0.9993745129772507,0.013764193428060588,0.3214924438556021,0,0,2.6914428061435878,1.610028278029317,1.4003811223433416,-0.02595731987621777,0.051583229844753775,0.9967030926136788,0,0,0,0,0,0,1
